review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT25WeldXMURXWGh4UWs1TmNsQXRWbWh5UVRGcFNFRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,114年8月2日來排隊水餃店吃晚餐，點了10顆水餃$80、小碗的酸辣湯湯$45、兩個小菜海帶、小黃瓜共兩盤應該是$90合計$215 ，稍微高價的水餃店，東西都不好吃到底大家是在排隊什麼，不便宜的價格加上不好吃的東西，就是很差勁！不會再訪了！,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21wMk5tY3dWMlZWYVhJMldIVjJWV0ZzTXpCZk9IYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,躁鬱女服務員脾氣爆躁，問一下就發脾氣，跩個二五八萬,,1,
Ci9DQUlRQUNvZENodHljRjlvT2tkb1RHazJPVE14V0hsNmVtOXplRkYwTVROTlRGRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21KdmNsOVRiVlJ3UVcxaVYxVjVWREpsWTJnMk9GRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"購買20顆水餃+1個大酸辣湯+1份豆乾+1份海帶
店家跟我收405元 是土匪水餃店嗎？會故意在混亂中 亂收費 東西也沒有以前好吃
一樣的東西 去對面的秀x買才270元 還比較好吃",,,
Ci9DQUlRQUNvZENodHljRjlvT25kTVJFTTJUVmd4YlZaSFFXWnVjalY1YUhvemVFRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,本來想懷念和老公第一次約會的時光，一顆九塊的水餃？皮沒有公公手桿的好吃，內餡鬆散不飽滿，原本外帶20顆韭菜10顆白菜，結果回到家打開發現剛好相反，應該不會再去吃了😮‍💨😮‍💨😮‍💨,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25SZlNYcE5XazVoVkVOVVkyeENiVnBDTWs5UlRrRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,整體來說覺得不太值得，水餃一顆要9元，價格偏高。當天天氣非常熱，店內又沒有冷氣，吃起來很不舒服。酸辣湯的味道也偏鹹，不太合口味。整體體驗不佳，不太推薦。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25neFdHbG5UVWxHYkhoTE1tNU1WVEZyYm05Nk5WRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,完全沒有任何帶位指示，一進來女店員態度極差，還沒講要點什麼口味就擅自幫客人決定，衛生壞境也有待加強。不會再來的店，供大家參考。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25oNlN6UTJXVFUyYTJSbU0zSkxTakJpUkVKMFlrRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,女店員態度不敢恭維,,,
Ci9DQUlRQUNvZENodHljRjlvT25SYVdHTlJXVFZhU2pOeFgzZDVZM0EwZEdKcmJFRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,等了一會兒終於要等到，結果老闆臨時把我的內用裝給吃飽顧客加點的外帶,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2sxUlIwbHBjSE5wWlhoclNqRlNSalZ3UjNsUFRHYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"服務人員態度很差
豬肉大白菜水餃很普通，吃不出裡面有白菜",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2tnelUzSlhOMWxDVWtoQlNrSktORmxMWkdsb09WRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"服務態度差，價格也不便宜
別因為人潮就盲目排隊",2,1,1
